,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ?????????? ????????????  , ?????????? ????????????  , ?????????? ????????????  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A,,,A1,,B,C1,C2,C3,D1 = B +C1,D2 = B +C2,D3 = B +C3,E1,E2,E3,F = E2 - D2,G=F/D2,H1,H2,H3,I1,I2,I3,,,,,,,,,,,,,,,,,,,,
,,,,???????? (?.?.-?.?.2025),????????????? (?.?.-?.?.2026),,,???????? Revise (?.?.-?.?.2026),,,???????? (?.?-?.?.2026),???????? (?.?-?.?.2026),,,???????? + ???????? (?.?.-?.?.2026),,,???????? (?.?.-?.?.2027),,,?????? ,%Growth,???????? (?.?.-?.?.2028),,,???????? (?.?.-?.?.2029),,,,,,,,,,,,,,,,,,,,,,
 Note , ????? , ????????? ,?????,2568,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2570,2570,2570, (?????) - ??,,2571,2571,2571,2572,2572,2572,????????,,,,,,,,,,,,,,,,,,,
,,,,Realistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,Realistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,,,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,,,,,,,,,,,,,,,,,,,,
D,6,???????? ??????????????? - ???,???, -   , 109.00 , 107.00 , 103.00 , 109.00 , 107.00 , 103.00 , 78.00 , -   , -   , -   , 78.00 , 78.00 , 78.00 , 126.00 , 119.00 , 113.00 , 41.00 ,53%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,6.1,???????? ??????????????? - ????,???, -   , 103 , 101 , 97 , 103 , 101 , 97 , 78 ,,,, 78 , 78 , 78 , 126 , 119 , 113 , 41 ,53%,,,,,,, ???????? ,,,,,,,,,,,,,,,,,,,
,6.2,???????? ??????????????? - Organic,???, -   , 6 , 6 , 6 , 6 , 6 , 6 ,,,,, -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,, ???????? ,,,,,,,,,,,,,,,,,,,
,6.3,???????? ??????? - ???????????,???, -   , 3 , 3 , 3 , 3 , 3 , 3 , 12 ,,,, 12 , -   , -   , 2 , 2 , 2 , 2 ,0%,,,,,,, ???????? ,,,,,,,,,,,,,,,,,,,
E,7,??????????????? - ?????????,??? / ???, -   ," 7,229 "," 7,178 "," 7,262 "," 7,229 "," 7,178 "," 7,262 "," 6,961 ", -   , -   , -   ," 6,961 "," 6,961 "," 6,961 ", -   , -   , -   ,"(6,961)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,7.1,??????????????? - ????,??? / ???, -   ," 7,421 "," 7,370 "," 7,468 "," 7,421 "," 7,370 "," 7,468 "," 6,645 ", -   , -   , -   ," 6,645 "," 6,645 "," 6,645 ", -   , -   , -   ,"(6,645)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,7.2,??????????????? - Organic,??? / ???, -   ," 3,933 "," 3,933 "," 3,933 "," 3,933 "," 3,933 "," 3,933 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
F,8,C.C.S  ??????,%, -   , 13.79 , 13.79 , 13.79 , 13.79 , 13.79 , 13.79 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,8.1,C.C.S  ???? ????,%,, 13.80 , 13.80 , 13.80 , 13.80 , 13.80 , 13.80 ,,,,, -   , -   , -   , 13.90 , 13.90 , 13.90 , 13.90 ,0%,,,,,,, ???????? ,,,,,,,,,,,,,,,,,,,
,8.2,C.C.S  ???? Organic,%,, 13.50 , 13.50 , 13.50 , 13.50 , 13.50 , 13.50 ,,,,, -   , -   , -   , 13.90 , 13.90 , 13.90 , 13.90 ,0%,,,,,,, ???????? ,,,,,,,,,,,,,,,,,,,
